"","Mean","Std.dev","Skewness","Kurtosis","Entry_range_mean"
"1",261.737951499883,10.8327954366643,-0.492579136355983,16.3380065452711,103.120247584373
"2",270.340201597074,9.53306510909718,0.117357483559152,3.17719552242312,105.487142244601
"3",280.561981049696,8.45189999120707,0.0504017763414051,2.99445959341959,69.8098907513037
"4",435.635569122345,27.6000759741493,-0.0619593484680672,3.0880579681009,185.304488179312
"5",506.908440875945,18.4024690502946,-0.132254934821321,3.15637897122,110.579126021971
"6",330.859146853683,14.9178198480952,-0.0361601526144082,3.10310111994659,129.375564243898
"7",381.59133142336,12.6758379711638,0.0607385888646473,3.08170898510686,102.552991811568
"8",367.719589456387,18.6056548609298,0.0483277487352146,3.16169087187863,148.567742853065
"9",344.211425118207,16.5449393448078,-0.0326913495222369,3.21849783587279,125.226868432612
"10",238.387834265978,7.9764245464939,0.042214962446299,3.19033623405783,71.5470856326942
